Simbolo;Nome
^BVSP;Ibov
USDBRL=X;Dolar
AALR3.SA;AALR3
ABCB4.SA;ABCB4
ABEV3.SA;ABEV3
ADHM3.SA;ADHM3
AERI3.SA;AERI3
AESB3.SA;AESB3
AFLT3.SA;AFLT3
AGRO3.SA;AGRO3
AHEB3.SA;AHEB3
AHEB5.SA;AHEB5
AHEB6.SA;AHEB6
ALLD3.SA;ALLD3
ALPA3.SA;ALPA3
ALPA4.SA;ALPA4
ALPK3.SA;ALPK3
ALSO3.SA;ALSO3
ALUP11.SA;ALUP11
ALUP3.SA;ALUP3
ALUP4.SA;ALUP4
AMAR3.SA;AMAR3
AMBP3.SA;AMBP3
ANIM3.SA;ANIM3
APER3.SA;APER3
APTI3.SA;APTI3
APTI4.SA;APTI4
ARZZ3.SA;ARZZ3
ASAI3.SA;ASAI3
ATMP3.SA;ATMP3
ATOM3.SA;ATOM3
AURA33.SA;AURA33
AVLL3.SA;AVLL3
AZEV3.SA;AZEV3
AZEV4.SA;AZEV4
AZUL4.SA;AZUL4
B3SA3.SA;B3SA3
BAHI3.SA;BAHI3
BALM3.SA;BALM3
BALM4.SA;BALM4
BAUH4.SA;BAUH4
BAZA3.SA;BAZA3
BBAS3.SA;BBAS3
BBDC3.SA;BBDC3
BBDC4.SA;BBDC4
BBML3.SA;BBML3
BBRK3.SA;BBRK3
BBSE3.SA;BBSE3
BDLL3.SA;BDLL3
BDLL4.SA;BDLL4
BEEF3.SA;BEEF3
BEES3.SA;BEES3
BEES4.SA;BEES4
BFRE11.SA;BFRE11
BFRE12.SA;BFRE12
BGIP3.SA;BGIP3
BGIP4.SA;BGIP4
BIDI11.SA;BIDI11
BIDI3.SA;BIDI3
BIDI4.SA;BIDI4
BIOM3.SA;BIOM3
BKBR3.SA;BKBR3
BLAU3.SA;BLAU3
BMEB3.SA;BMEB3
BMEB4.SA;BMEB4
BMGB4.SA;BMGB4
BMIN3.SA;BMIN3
BMIN4.SA;BMIN4
BMKS3.SA;BMKS3
BMOB3.SA;BMOB3
BNBR3.SA;BNBR3
BOAS3.SA;BOAS3
BOBR3.SA;BOBR3
BOBR4.SA;BOBR4
BPAC11.SA;BPAC11
BPAC3.SA;BPAC3
BPAC5.SA;BPAC5
BPAN4.SA;BPAN4
BPAR3.SA;BPAR3
BPAT33.SA;BPAT33
BPHA3.SA;BPHA3
BRAP3.SA;BRAP3
BRAP4.SA;BRAP4
BRDT3.SA;BRDT3
BRFS3.SA;BRFS3
BRGE11.SA;BRGE11
BRGE12.SA;BRGE12
BRGE3.SA;BRGE3
BRGE5.SA;BRGE5
BRGE6.SA;BRGE6
BRGE7.SA;BRGE7
BRGE8.SA;BRGE8
BRIV3.SA;BRIV3
BRIV4.SA;BRIV4
BRKM3.SA;BRKM3
BRKM5.SA;BRKM5
BRKM6.SA;BRKM6
BRML3.SA;BRML3
BRPR3.SA;BRPR3
BRQB3.SA;BRQB3
BRSR3.SA;BRSR3
BRSR5.SA;BRSR5
BRSR6.SA;BRSR6
BSEV3.SA;BSEV3
BSLI3.SA;BSLI3
BSLI4.SA;BSLI4
BTOW3.SA;BTOW3
BTTL3.SA;BTTL3
BTTL4.SA;BTTL4
CALI3.SA;CALI3
CALI4.SA;CALI4
CAMB3.SA;CAMB3
CAMB4.SA;CAMB4
CAML3.SA;CAML3
CARD3.SA;CARD3
CASH3.SA;CASH3
CASN3.SA;CASN3
CASN4.SA;CASN4
CATA3.SA;CATA3
CATA4.SA;CATA4
CBEE3.SA;CBEE3
CCPR3.SA;CCPR3
CCRO3.SA;CCRO3
CCXC3.SA;CCXC3
CEAB3.SA;CEAB3
CEBR3.SA;CEBR3
CEBR5.SA;CEBR5
CEBR6.SA;CEBR6
CEDO3.SA;CEDO3
CEDO4.SA;CEDO4
CEEB3.SA;CEEB3
CEEB5.SA;CEEB5
CEEB6.SA;CEEB6
CEED3.SA;CEED3
CEED4.SA;CEED4
CEGR3.SA;CEGR3
CEPE3.SA;CEPE3
CEPE5.SA;CEPE5
CEPE6.SA;CEPE6
CESP3.SA;CESP3
CESP5.SA;CESP5
CESP6.SA;CESP6
CGAS3.SA;CGAS3
CGAS5.SA;CGAS5
CGRA3.SA;CGRA3
CGRA4.SA;CGRA4
CIEL3.SA;CIEL3
CLSC3.SA;CLSC3
CLSC4.SA;CLSC4
CMIG3.SA;CMIG3
CMIG4.SA;CMIG4
CMIN3.SA;CMIN3
CMSA3.SA;CMSA3
CMSA4.SA;CMSA4
CNSY3.SA;CNSY3
COCE3.SA;COCE3
COCE5.SA;COCE5
COCE6.SA;COCE6
