Setor;Subsetor;Segmento;Codigo;Nome;Cod_Clase;Classe;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RRRP;3R PETROLEUM;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;CSAN;COSAN       ;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;DMMO;DOMMO;Null;Null;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;ENAT;ENAUTA PART;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RPMG;PET MANGUINH;Null;Null;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PETR;PETROBRAS   ;N2;(N2) Nível 2 de Governança Corporativa;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;BRDT;PETROBRAS BR;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RECV;PETRORECSA ;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PRIO;PETRORIO;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;UGPA;ULTRAPAR    ;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;LUPA;LUPATECH    ;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OPCT;OCEANPACT;NM;(NM) Novo Mercado;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OSXB;OSX BRASIL  ;NM;(NM) Novo Mercado;
Materiais Básicos;Mineração;Minerais Metálicos;BRAP;BRADESPAR   ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Mineração;Minerais Metálicos;CMIN;CSNMINERACAO;N2;(N2) Nível 2 de Governança Corporativa;
Materiais Básicos;Mineração;Minerais Metálicos;LTEL;LITEL       ;MB;(MB) Balcão Organizado Tradicional;
Materiais Básicos;Mineração;Minerais Metálicos;LTLA;LITELA;MB;(MB) Balcão Organizado Tradicional;
Materiais Básicos;Mineração;Minerais Metálicos;MMXM;MMX MINER   ;NM;(NM) Novo Mercado;
Materiais Básicos;Mineração;Minerais Metálicos;VALE;VALE        ;NM;(NM) Novo Mercado;
Materiais Básicos;Mineração;Minerais Metálicos;AURA;Aura Minerals;DR3;(DR3) BDR Nível 3;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;FESA;FERBASA     ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GGBR;GERDAU      ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GOAU;GERDAU MET  ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;CSNA;SID NACIONAL;Null;Null;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;USIM;USIMINAS    ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;MGEL;MANGELS INDL;Null;Null;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;PATI;PANATLANTICA;Null;Null;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;TKNO;TEKNO       ;Null;Null;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;PMAM;PARANAPANEMA;NM;(NM) Novo Mercado;
Materiais Básicos;Químicos;Petroquímicos;BRKM;BRASKEM     ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Químicos;Petroquímicos;GPCP;GPC PART    ;Null;Null;
Materiais Básicos;Químicos;Fertilizantes e Defensivos;FHER;FER HERINGER;NM;(NM) Novo Mercado;
Materiais Básicos;Químicos;Fertilizantes e Defensivos;NUTR;NUTRIPLANT  ;MA;(MA) Bovespa Mais;
Materiais Básicos;Químicos;Químicos Diversos;CRPG;CRISTAL;Null;Null;
Materiais Básicos;Químicos;Químicos Diversos;UNIP;UNIPAR      ;Null;Null;
Materiais Básicos;Madeira e Papel;Madeira;DTEX;DURATEX     ;NM;(NM) Novo Mercado;
Materiais Básicos;Madeira e Papel;Madeira;EUCA;EUCATEX     ;N1;(N1) Nível 1 de Governança Corporativa;
Materiais Básicos;Madeira e Papel;Papel e Celulose;RANI;IRANI ;Null;Null;
Materiais Básicos;Madeira e Papel;Papel e Celulose;KLBN;KLABIN S/A  ;N2;(N2) Nível 2 de Governança Corporativa;
Materiais Básicos;Madeira e Papel;Papel e Celulose;MSPA;MELHOR SP   ;Null;Null;
Materiais Básicos;Madeira e Papel;Papel e Celulose;NEMO;SUZANO HOLD ;Null;Null;
Materiais Básicos;Madeira e Papel;Papel e Celulose;SUZB;SUZANO S.A.;NM;(NM) Novo Mercado;
Materiais Básicos;Embalagens;Embalagens;MTIG;METAL IGUACU;Null;Null;
Materiais Básicos;Materiais Diversos;Materiais Diversos;SNSY;SANSUY      ;Null;Null;
Bens Industriais;Construção e Engenharia;Produtos para Construção;ETER;ETERNIT     ;NM;(NM) Novo Mercado;
Bens Industriais;Construção e Engenharia;Produtos para Construção;HAGA;HAGA S/A    ;Null;Null;
Bens Industriais;Construção e Engenharia;Produtos para Construção;PTBL;PORTOBELLO  ;NM;(NM) Novo Mercado;
Bens Industriais;Construção e Engenharia;Construção Pesada;AZEV;AZEVEDO     ;Null;Null;
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;SOND;SONDOTECNICA;Null;Null;
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;TCNO;TECNOSOLO   ;Null;Null;
Bens Industriais;Construção e Engenharia;Serviços Diversos;MILS;MILLS       ;NM;(NM) Novo Mercado;
Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;EMBR;EMBRAER     ;NM;(NM) Novo Mercado;
Bens Industriais;Material de Transporte;Material Rodoviário;FRAS;FRAS-LE     ;N1;(N1) Nível 1 de Governança Corporativa;
