Simbolo;Ticker;Nome
^BVSP;Ibov;Ibov
USDBRL=X;Dolar;Dolar
AALR3.SA;AALR3;AALR
ABCB4.SA;ABCB4;ABCB
ABEV3.SA;ABEV3;ABEV
ADHM3.SA;ADHM3;ADHM
AERI3.SA;AERI3;AERI
AESB3.SA;AESB3;AESB
AFLT3.SA;AFLT3;AFLT
AGRO3.SA;AGRO3;AGRO
AHEB3.SA;AHEB3;AHEB
AHEB5.SA;AHEB5;AHEB
AHEB6.SA;AHEB6;AHEB
ALLD3.SA;ALLD3;ALLD
ALPA3.SA;ALPA3;ALPA
ALPA4.SA;ALPA4;ALPA
ALPK3.SA;ALPK3;ALPK
ALSO3.SA;ALSO3;ALSO
ALUP11.SA;ALUP11;ALUP
ALUP3.SA;ALUP3;ALUP
ALUP4.SA;ALUP4;ALUP
AMAR3.SA;AMAR3;AMAR
AMBP3.SA;AMBP3;AMBP
ANIM3.SA;ANIM3;ANIM
APER3.SA;APER3;APER
APTI3.SA;APTI3;APTI
APTI4.SA;APTI4;APTI
ARZZ3.SA;ARZZ3;ARZZ
ASAI3.SA;ASAI3;ASAI
ATMP3.SA;ATMP3;ATMP
ATOM3.SA;ATOM3;ATOM
AURA33.SA;AURA33;AURA
AVLL3.SA;AVLL3;AVLL
AZEV3.SA;AZEV3;AZEV
AZEV4.SA;AZEV4;AZEV
AZUL4.SA;AZUL4;AZUL
B3SA3.SA;B3SA3;B3SA
BAHI3.SA;BAHI3;BAHI
BALM3.SA;BALM3;BALM
BALM4.SA;BALM4;BALM
BAUH4.SA;BAUH4;BAUH
BAZA3.SA;BAZA3;BAZA
BBAS3.SA;BBAS3;BBAS
BBDC3.SA;BBDC3;BBDC
BBDC4.SA;BBDC4;BBDC
BBML3.SA;BBML3;BBML
BBRK3.SA;BBRK3;BBRK
BBSE3.SA;BBSE3;BBSE
BDLL3.SA;BDLL3;BDLL
BDLL4.SA;BDLL4;BDLL
BEEF3.SA;BEEF3;BEEF
BEES3.SA;BEES3;BEES
BEES4.SA;BEES4;BEES
BFRE11.SA;BFRE11;BFRE
BFRE12.SA;BFRE12;BFRE
BGIP3.SA;BGIP3;BGIP
BGIP4.SA;BGIP4;BGIP
BIDI11.SA;BIDI11;BIDI
BIDI3.SA;BIDI3;BIDI
BIDI4.SA;BIDI4;BIDI
BIOM3.SA;BIOM3;BIOM
